Day,Hour,Minute,DHI,DNI,WS,RH,T,TARGET
192,11,30,106,944,1.8,28.3,29,93.53651372
82,6,30,27,462,3.8,56.38,2,6.569207033
120,12,30,439,59,2.9,62.22,15,46.25937659
101,11,0,391,475,3.9,28.68,15,73.7522718
100,1,0,0,0,1.9,57.46,1,0
101,9,30,135,851,4.2,27.57,15,68.40382461
6,2,0,0,0,1.1,87.04,-4,0
164,8,0,285,176,2.4,47.26,21,36.68605148
154,6,30,71,693,3.2,47.7,15,28.80654891
116,13,30,106,0,4,61.91,10,9.946781758
60,3,0,0,0,3.5,86.98,-4,0
134,11,0,475,96,4.9,41.86,17,52.92031409
52,23,0,0,0,3,69.42,-12,0
36,18,30,0,0,3.3,69.48,4,0
141,16,0,185,12,2,45.6,15,18.01582212
39,2,30,0,0,2.3,78.74,0,0
41,6,30,0,0,1.2,93.84,-2,0
202,16,30,72,825,1.7,32.66,26,46.81670981
200,4,0,0,0,1.4,71.58,11,0
55,22,30,0,0,3.2,85.29,-7,0
186,1,0,0,0,1.3,100,15,0
72,1,0,0,0,1.1,73.29,1,0
94,14,30,93,959,3.6,16.57,18,70.27815525
45,9,0,84,650,4.2,63.82,3,29.65495155
92,17,0,65,672,3.2,36.23,5,23.27299472
80,9,30,266,371,2.5,28.28,15,45.88404696
158,19,30,0,0,1,75.37,17,0
159,11,0,445,496,2,31.48,27,85.18858758
94,3,30,0,0,1.7,52.88,0,0
52,10,30,253,54,3.3,59.16,-9,26.6554334
100,18,0,32,316,1.2,48.51,10,6.00560408
60,2,30,0,0,3.5,85.59,-4,0
151,16,30,180,18,1.5,44.05,22,17.82678558
130,7,30,87,823,1.5,65.7,4,45.60806347
94,13,30,103,982,3.9,15.65,19,81.53677651
117,11,30,117,970,2.2,37.67,14,92.70743699
197,1,30,0,0,1.8,74.99,13,0
72,12,30,77,1047,1.2,20.26,16,79.75666918
26,14,30,52,926,1.2,33.21,14,39.97304469
65,13,0,111,993,5.2,36.15,11,74.97538937
172,3,0,0,0,4.3,51.93,14,0
66,18,30,0,0,1.7,71.74,1,0
206,2,0,0,0,1.5,60.49,15,0
57,3,0,0,0,4.9,70.38,-12,0
126,14,0,163,838,2.8,47.46,14,79.66458907
84,7,30,96,429,3.9,48.94,4,21.1148442
119,9,30,234,15,1.8,27.76,21,23.175076
61,8,30,37,0,3.4,67.77,-1,3.472409628
120,15,0,40,0,1.5,65.41,14,3.75333753
141,13,0,425,46,1,39.47,16,43.81925236
136,7,30,66,866,2.6,55.89,10,46.73110675
14,14,0,57,978,1.1,41.25,7,42.79133999
74,11,0,77,1009,2.7,20.55,22,75.0601498
160,9,30,395,77,2.3,79.05,17,42.97429761
52,9,30,120,0,3.2,62.85,-9,11.26285919
62,12,0,316,50,3.9,47.88,-4,32.94205305
121,6,0,44,541,2.4,60.78,12,13.04313464
178,18,30,50,0,1.9,68.21,21,4.691310931
76,18,0,3,0,0.9,97.86,7,0.281521974
62,9,30,164,8,1.8,46.4,-6,15.76748305
88,14,0,87,978,2.8,17.76,20,73.935873
71,1,30,0,0,1.9,100,1,0
165,21,0,0,0,2,100,14,0
131,10,30,466,200,3.6,36.47,17,60.23908093
179,9,30,123,850,3.7,51.2,24,75.8090846
104,10,0,373,75,4.2,18.24,14,40.44221189
161,11,0,53,0,2.7,56.17,20,4.97284425
124,13,30,272,18,2.2,77.37,10,27.02521836
84,8,0,76,836,3.9,44.1,6,37.81820077
102,1,30,0,0,1.8,55.47,0,0
27,11,0,58,975,7.2,43.84,9,50.76667996
203,14,0,371,38,1.9,21.64,31,37.90162557
190,8,30,75,908,3,40.85,22,63.23817621
148,19,0,9,0,2.2,98.44,8,0.844556639
39,12,30,59,1016,3,34.48,15,61.08489688
155,12,30,114,2,3.6,74.27,18,10.97802959
12,13,30,151,8,4.1,79.88,0,14.54642101
59,7,0,3,0,0.4,79.64,-7,0.281565291
170,23,30,0,0,3.6,72.95,15,0
8,4,30,0,0,1.4,77.11,-7,0
92,10,0,137,971,2.7,33.72,4,78.17184542
196,19,30,0,0,1,63.39,19,0
150,17,0,98,625,0.7,67.04,19,33.7781813
112,11,0,418,401,2.2,25.25,18,71.77942425
1,23,30,0,0,2.2,72.49,-8,0
34,15,0,68,0,2,72.72,2,6.381515403
186,21,0,0,0,1.5,96.07,13,0
106,21,0,0,0,1.5,93.29,-3,0
31,0,0,0,0,2.5,89.18,-5,0
173,6,0,53,618,3.7,58.64,17,19.23522055
56,9,30,109,0,1.7,53.97,-4,10.22986833
33,5,30,0,0,2.3,70.71,0,0
193,6,30,113,27,2.3,59.69,20,11.4469245
49,12,30,125,848,5.2,36.46,11,61.83827484
107,2,0,0,0,1.3,73.85,-1,0
128,1,30,0,0,1.6,100,5,0
171,16,30,66,871,3.2,22.04,30,49.62915928
82,6,0,0,0,2.9,60.59,0,0
81,22,30,0,0,1.4,86.74,3,0
99,22,30,0,0,1.6,69.29,2,0
91,2,0,0,0,3,86.92,1,0
205,11,0,85,972,3.2,23.88,30,90.90861123
171,17,0,61,830,2.8,26.1,30,40.34128259
71,20,0,0,0,0.7,67.89,4,0
61,7,30,41,0,2.5,63.27,-1,3.847805264
51,8,30,122,46,1,63.02,0,12.85715922
178,19,0,19,0,2.5,75.4,20,1.78271775
114,17,0,66,0,1.6,52.37,12,6.193143066
56,5,0,0,0,1,72.57,-12,0
50,23,30,0,0,0.5,89.7,-2,0
0,9,30,67,811,1.9,53.15,-4,29.46952894
57,6,0,0,0,4.3,68.46,-13,0
112,11,30,441,330,2.3,25.24,18,68.87071556
168,7,0,74,760,3,47.87,20,37.7185545
143,3,30,0,0,0.7,96.23,2,0
98,2,0,0,0,1.9,67.93,0,0
197,10,0,427,108,2.1,22.68,28,48.69206048
16,20,30,0,0,4.3,51.19,-2,0
155,18,30,7,0,0.8,84.95,16,0.656819629
47,8,30,53,866,4.2,45.81,-3,28.24914246
40,1,30,0,0,2.4,81.25,1,0
30,15,0,154,70,2.5,84.35,1,16.8924323
165,7,0,87,706,1,67.9,17,36.7814949
154,7,30,86,825,2.3,38.76,18,48.22826675
50,3,0,0,0,1.8,67.13,0,0
23,19,0,0,0,5.9,66.68,1,0
36,9,30,52,939,4.7,41.95,9,38.94301698
118,22,30,0,0,1.7,72.36,7,0
103,15,30,269,227,3.5,16.71,19,37.43748427
152,2,0,0,0,3.8,73,12,0
169,18,0,49,659,0.6,51.83,25,20.73468258
59,0,30,0,0,1.2,80.72,-8,0
65,5,30,0,0,1.1,48.76,0,0
27,7,0,0,0,2.5,74.22,1,0
180,5,0,18,242,3,77.29,17,3.002571012
141,3,0,0,0,1.7,100,2,0
140,18,0,67,0,1.8,80.07,9,6.287185873
12,22,0,0,0,1.2,98.43,-6,0
56,6,30,0,0,1.3,68.97,-11,0
45,19,30,0,0,2.8,82.63,-3,0
129,2,0,0,0,2.6,85.39,-3,0
183,20,0,0,0,2,78.97,19,0
21,19,0,0,0,3.7,53.3,-7,0
120,4,0,0,0,0.5,100,6,0
207,5,30,28,279,3.4,54.82,18,5.066782889
187,21,30,0,0,2.2,100,12,0
15,11,30,134,0,3.1,51.29,5,12.57492456
4,15,0,96,4,6.9,74.5,5,9.196586621
65,14,30,95,955,4,37.25,11,60.43072685
13,0,30,0,0,0.7,94.32,-6,0
194,11,0,455,457,2.6,41.83,24,82.18905706
157,15,0,297,29,2.8,42.62,21,30.02438996
95,11,0,103,1002,1.5,13.9,19,85.6652209
118,23,30,0,0,1.8,71.25,7,0
68,10,0,97,973,3.7,33.65,10,63.99721848
158,0,30,0,0,1.3,100,9,0
200,23,0,0,0,2.4,85.72,13,0
31,21,0,0,0,2.5,62.12,-5,0
201,18,30,52,153,1.1,78.02,17,7.037275809
7,8,30,36,726,4.3,60.07,4,15.20268782
51,13,0,273,42,2.1,56.75,1,28.15405384
166,22,30,0,0,1.9,93.59,13,0
134,21,30,0,0,1,90.44,6,0
134,8,30,259,446,1.7,55.67,15,51.889321
4,23,30,0,0,1.4,79.16,1,0
54,16,30,56,697,0.4,68.14,1,20.27091876
203,21,0,0,0,0.9,53.37,20,0
149,23,0,0,0,3.5,83.85,9,0
160,6,0,88,270,0.7,100,16,14.5438632
62,10,30,145,4,2.8,45.01,-4,13.89009644
134,4,0,0,0,1.2,100,5,0
95,1,0,0,0,2.6,46.76,4,0
179,11,0,119,905,4.1,46.21,25,90.35067568
30,19,30,0,0,1.1,94.09,-2,0
21,5,0,0,0,2.3,67.23,-13,0
64,11,0,112,986,1.8,36.48,7,72.16346591
128,19,0,0,0,7.3,90.68,0,0
103,8,0,72,887,2,19.53,16,46.82185637
176,22,0,0,0,1.2,90.36,15,0
22,23,30,0,0,1.8,70.45,-4,0
126,16,30,120,657,2.4,61.61,12,39.59858142
198,10,30,346,26,2.5,25.15,28,34.71302963
108,3,0,0,0,6.1,87.77,-1,0
87,2,30,0,0,1.4,81.37,2,0
93,1,30,0,0,2.3,61.64,-3,0
33,21,0,0,0,1.5,78.2,2,0
139,22,30,0,0,1.6,100,3,0
79,3,0,0,0,1.7,50.58,3,0
63,14,30,262,375,4,54.47,2,44.57676201
59,17,30,21,15,2.4,83.75,-3,2.064721376
29,20,0,0,0,1,87.07,0,0
166,7,30,116,689,3.2,83.86,15,44.47656086
194,17,0,126,0,2.7,70.42,20,11.8222335
196,5,30,37,319,3.4,70.93,15,7.037430516
84,22,0,0,0,1.7,80.61,3,0
4,12,30,198,48,7.8,67.18,6,20.64517164
74,1,30,0,0,3.2,45.69,6,0
165,8,0,282,118,0.6,57.57,19,33.12138333
175,10,30,117,907,2.3,31.76,28,87.81458306
21,13,0,67,1044,2.5,28.77,1,54.80655814
78,14,30,71,1009,2.8,18.06,15,65.96418203
86,2,0,0,0,2.6,68.2,5,0
48,15,30,60,900,1.9,56.5,5,36.78634649
135,6,0,70,442,0.2,75.38,7,15.57754921
30,21,0,0,0,1,93.41,-3,0
18,21,0,0,0,0.7,83.06,0,0
126,20,0,0,0,1.3,100,7,0
134,17,0,141,22,3.7,46.74,13,14.07517044
118,6,0,40,559,3,60.1,8,12.48067032
57,17,0,55,76,1.8,71.09,-6,6.288222405
37,14,30,55,938,4.4,37.25,13,44.75904201
153,15,0,274,515,4.9,39.39,23,61.73629457
44,1,0,0,0,1.9,58.53,0,0
94,11,0,104,990,4.2,16.59,18,84.54021079
52,17,30,13,0,3.1,73.35,-11,1.220169894
177,14,30,89,924,3.4,33.06,28,79.55851115
72,7,0,33,601,4.1,60.63,3,10.97983965
29,5,0,0,0,1.5,76.52,0,0
17,18,0,0,0,2.2,79.83,0,0
64,5,0,0,0,3.1,66.08,-4,0
167,4,0,0,0,1.2,100,10,0
157,14,30,357,477,2.8,40.69,21,69.80670666
115,4,30,0,0,1.2,100,3,0
163,15,0,286,25,2,41.9,24,28.61605297
102,18,0,33,362,4.9,39.38,11,6.756230331
107,11,30,462,122,2.1,76.13,4,53.30325114
202,9,30,80,932,1.8,37.34,25,75.71442915
80,3,0,0,0,2.7,52.13,3,0
135,1,30,0,0,0.9,92.7,4,0
15,13,30,203,256,1.6,61.64,5,29.84198516
63,5,0,0,0,3.2,58.62,-11,0
7,5,30,0,0,4,63.8,1,0
69,19,30,0,0,1.8,70.14,4,0
59,16,0,119,10,2.6,76.67,-1,11.54341579
45,3,30,0,0,0.8,71.8,2,0
144,21,0,0,0,0.5,100,7,0
129,8,30,305,275,2.4,72.73,2,45.32752852
57,20,30,0,0,2.1,76.36,-9,0
30,0,30,0,0,1.2,76.16,-1,0
117,20,30,0,0,1.5,78,5,0
201,4,30,0,0,2.5,85.47,12,0
63,1,30,0,0,3.3,57.13,-12,0
127,10,30,412,389,5.4,71.28,11,70.47123581
51,17,30,9,0,5.9,92.51,-5,0.844677309
60,1,0,0,0,3.4,82.26,-5,0
115,20,30,0,0,2.4,100,2,0
15,21,30,0,0,3.9,57.9,0,0
135,0,30,0,0,0.8,95.8,5,0
33,16,0,91,71,1.3,68.04,4,10.04128146
25,11,0,67,973,2.5,38.92,13,50.85828254
180,12,0,100,947,2.7,26.41,31,94.56643211
129,14,30,302,559,3.5,58.46,7,68.78520222
32,20,0,0,0,1.7,69.24,0,0
195,15,30,293,45,1.9,46.26,23,30.49285066
132,7,0,171,115,2.7,66.6,11,20.36252753
78,19,0,0,0,1.3,39.82,6,0
91,3,0,0,0,2.3,81.76,1,0
14,18,0,0,0,1.8,61.4,-1,0
10,14,30,104,0,1.9,84.67,2,9.759964734
61,13,0,151,6,1.2,54.61,1,14.640108
157,0,30,0,0,2.5,86.51,9,0
132,1,0,0,0,3,84.14,7,0
185,21,0,0,0,0.8,93.88,16,0
147,3,30,0,0,1.8,91.32,7,0
149,5,0,22,175,2,95.3,6,3.002934056
153,13,30,408,519,4.3,35.91,24,82.00141081
142,6,0,78,307,1.4,85.2,7,13.98225802
75,7,30,92,17,4.9,74.63,6,9.008802168
97,0,0,0,0,0.9,68.61,2,0
145,7,30,127,648,1.8,59.67,13,43.07002156
90,15,0,278,317,4,30.94,15,44.19506364
14,19,30,0,0,2.5,63.86,-1,0
134,23,0,0,0,0.5,90.38,6,0
190,4,30,0,0,3.2,98.73,10,0
170,22,0,0,0,3.3,67.53,16,0
191,17,30,128,24,1.1,38.15,24,12.85376806
14,20,0,0,0,2.8,58.72,-1,0
189,20,0,0,0,0.9,90.47,15,0
25,22,30,0,0,3,60.36,1,0
203,20,30,0,0,0.8,53.91,20,0
142,16,0,104,814,3.1,48.62,14,53.95422699
106,22,30,0,0,1.5,85.57,-4,0
14,21,30,0,0,3.4,50.75,0,0
72,3,30,0,0,1.4,81.05,0,0
91,13,0,68,0,5.4,29.91,13,6.380743935
95,4,0,0,0,2.8,55.3,3,0
183,9,30,166,786,2,55.31,24,74.6832071
176,20,30,0,0,0.9,86.76,15,0
160,10,30,286,18,2.4,76.84,18,28.43028176
4,10,0,97,0,6.6,65.55,4,9.102843944
203,11,30,410,547,1.8,25.49,29,86.40634818
142,11,0,177,13,4.3,53.94,15,17.7343249
21,1,0,0,0,1.6,78.49,-10,0
6,17,30,0,0,1.8,77.6,-2,0
112,10,0,195,801,2.1,26.52,17,77.78535528
124,19,0,0,0,1.9,100,7,0
66,2,0,0,0,1.8,68.24,-2,0
6,23,0,0,0,3.7,56.9,0,0
173,0,30,0,0,4.6,80.69,14,0
46,1,0,0,0,0.8,82.8,-4,0
88,23,30,0,0,1.5,58.1,5,0
140,10,0,178,12,0.9,48.29,13,17.64088029
4,20,30,0,0,1.8,78.55,2,0
123,23,0,0,0,2.1,100,7,0
119,12,30,475,260,0.3,25.2,23,66.52132652
165,0,30,0,0,1.2,95.55,11,0
48,22,0,0,0,3.2,67.09,-1,0
42,10,0,131,631,4.3,32.94,8,40.25719977
155,22,0,0,0,1.4,97.31,12,0
125,3,0,0,0,0.9,100,6,0
94,20,30,0,0,1.5,50.74,6,0
168,4,0,0,0,2.2,70.7,11,0
30,9,0,125,159,1,75.05,1,16.14165753
68,12,0,110,1013,3.1,31.8,12,78.91565634
63,20,0,0,0,2.7,68.79,-3,0
196,14,0,398,376,0.8,27.1,28,67.83113628
16,3,0,0,0,2.9,67.89,-1,0
142,8,0,261,318,2,59.9,12,42.13213995
18,3,30,0,0,2.3,69.63,0,0
182,6,30,41,0,3.4,75.53,19,3.846959536
26,7,30,13,385,2.3,44.46,5,2.627596178
100,16,30,168,202,2.2,21.68,15,23.1766045
81,3,0,0,0,3.9,79.76,4,0
131,17,30,114,113,2.6,63.78,14,13.79351542
191,22,0,0,0,2,74.14,15,0
146,5,30,40,434,3.5,83.81,8,9.66548153
25,10,0,58,932,3,45.16,11,40.91272812
30,3,0,0,0,0.9,75.43,-2,0
66,8,0,81,684,2.1,60.97,2,26.55836557
8,12,0,224,164,1.5,57.61,3,28.34112458
90,12,0,386,383,3.5,23.07,18,65.58668961
62,22,30,0,0,3,60.14,-13,0
47,23,30,0,0,1.8,52.03,-6,0
130,15,30,89,907,0.5,37.87,13,62.3999223
172,12,0,417,565,1.1,25.38,29,90.15906689
138,8,30,85,0,3.9,94.23,5,7.976631253
144,21,30,0,0,0.6,100,6,0
43,22,30,0,0,1.6,62.14,0,0
111,11,30,430,351,1.7,29.73,17,69.43445465
201,17,30,10,0,1.7,63.79,20,0.9382725
173,19,30,0,0,1.7,67.49,20,0
94,18,30,0,0,1.2,50.07,8,0
39,4,0,0,0,2.9,66.06,0,0
123,20,30,0,0,2.4,100,8,0
36,4,30,0,0,2.9,61.45,0,0
162,8,30,131,4,1.7,79.4,15,12.57354252
108,14,0,379,74,3.5,46.35,8,41.00791678
66,20,0,0,0,2,71.56,0,0
147,13,0,480,423,1,39.36,19,81.72443308
42,19,30,0,0,1.3,61.87,1,0
35,4,0,0,0,2.2,66.2,0,0
99,13,30,341,35,2.5,21.8,15,34.71799054
155,17,30,10,0,1.7,66.13,18,0.938293128
164,2,0,0,0,2.7,89.17,11,0
140,14,30,207,13,1.7,48.75,14,20.3618561
178,5,30,36,468,2.4,72.24,18,9.852077839
169,5,0,21,292,3.5,61.63,15,3.753296275
145,15,0,255,603,1.5,46.29,17,65.39974986
172,5,0,22,185,4.9,52.9,15,3.190301834
177,21,30,0,0,0.9,69.72,17,0
70,16,0,154,45,3.1,41.58,11,16.04604704
131,18,30,33,33,2.1,84.16,11,3.378115166
73,12,0,74,1015,2.3,18.28,21,77.96958768
95,22,0,0,0,2.4,52.49,5,0
146,7,30,83,801,1.9,57.52,15,46.353209
131,16,30,9,0,3.7,45.6,17,0.844473097
15,12,30,112,740,2.2,57.47,5,44.48144958
14,19,0,0,0,2.2,63.88,-1,0
7,21,30,0,0,2.1,98.07,-4,0
182,23,0,0,0,0.8,97.79,16,0
62,17,30,26,376,2.5,55.06,-8,4.974374811
184,13,0,461,325,2.4,30.49,30,71.86377317
149,0,0,0,0,0.6,100,6,0
178,11,0,445,55,2.1,30.9,29,46.62752991
72,20,30,0,0,2.5,66.42,4,0
81,0,30,0,0,1.7,84.1,5,0
93,10,0,99,994,1.2,16.81,12,76.56976882
83,13,30,385,171,5.8,60.9,3,47.9546843
54,13,30,95,991,0.7,45.14,4,66.06600141
138,23,0,0,0,0.8,100,2,0
135,16,0,169,595,2.8,89.96,6,47.48389476
72,5,30,0,0,2.1,80.18,-1,0
27,8,30,37,770,4.2,64.51,5,18.6747014
179,6,30,68,637,2.7,75.13,20,26.27163
43,2,30,0,0,2,59.69,0,0
62,3,0,0,0,2.7,71.01,-10,0
123,5,0,0,0,0.7,100,7,0
191,1,0,0,0,2.6,78.92,12,0
26,18,30,0,0,3,69.83,3,0
187,7,0,29,0,4.8,74.58,16,2.72110989
175,14,30,134,843,1.5,29.43,28,77.49449317
28,2,30,0,0,1.3,100,-1,0
54,9,30,70,959,0.9,43.8,1,48.80035999
197,19,0,20,288,0.9,49.58,21,3.659222526
76,10,0,310,280,2.7,38.4,16,46.07120537
46,6,30,0,0,2.1,83.67,-4,0
8,21,30,0,0,3.3,81.15,-2,0
13,14,30,96,602,2.5,52.14,2,29.18604839
206,12,30,195,14,2.5,41.18,27,19.60838635
73,15,30,181,424,2.4,20.64,20,35.74818225
161,4,0,0,0,1.4,93.27,9,0
67,14,30,95,964,2.7,34.67,10,61.55744182
98,18,0,33,56,2.4,52.78,4,3.659906328
188,22,0,0,0,0.5,100,11,0
85,9,30,258,431,2.3,41.17,14,49.63788883
85,10,0,249,580,2.5,38.93,15,60.70956725
144,23,30,0,0,1,100,5,0
12,17,30,0,0,2.9,92.92,-3,0
89,8,0,73,823,1.6,24.53,16,39.03385221
178,13,0,152,10,1.5,34.35,29,15.19851076
202,8,0,67,868,2.5,41.24,23,52.07240651
32,3,30,0,0,2.3,62.49,-2,0
198,15,30,75,0,1.9,50.48,22,7.036889044
80,6,30,3,0,2.7,44.82,6,0.281525068
11,13,0,208,72,2.2,64.86,3,22.71043758
132,14,30,63,0,3,67.91,13,5.911571586
10,15,30,67,0,1.4,92.18,1,6.28773869
66,19,0,0,0,1.8,68.79,1,0
168,10,0,412,433,2.8,35.32,25,73.7441652
20,3,30,0,0,1.3,80.88,-6,0
125,21,30,0,0,1.5,100,6,0
143,7,30,94,785,1.4,63.84,9,46.2624274
141,3,30,0,0,1.7,100,2,0
68,15,30,80,906,1.9,34.25,10,45.88656867
181,6,30,106,407,3.9,67.15,21,22.51829247
71,10,30,273,453,3.8,62.57,8,53.95778524
184,19,0,19,0,2.8,64.41,21,1.782698154
145,1,0,0,0,1.3,99.51,5,0
43,12,0,86,1000,1.8,34.99,13,64.46428063
177,1,30,0,0,1.8,96.43,13,0
128,9,0,311,395,2.2,84.58,7,55.74135078
66,21,0,0,0,2.3,73.76,0,0
191,16,0,118,783,2,29.62,26,56.19881599
137,14,30,163,9,5.4,53.69,14,16.04551794
23,2,30,0,0,2.9,67.49,-3,0
119,8,0,82,855,2.7,29.33,19,51.13641335
163,2,30,0,0,1.5,80.52,9,0
21,15,0,53,936,2.1,38.67,0,33.50369227
24,21,0,0,0,3.5,75.84,1,0
93,5,0,0,0,2.6,50.5,-4,0
205,17,0,67,773,3,27.42,27,36.96509197
44,5,0,0,0,2.4,52.9,0,0
103,19,0,0,0,3.9,39.21,11,0
186,22,30,0,0,1.6,95.47,12,0
118,18,0,39,516,0.8,49.11,14,11.16617915
19,11,0,59,994,3.2,37.81,1,49.26959422
127,2,30,0,0,1.6,100,5,0
97,16,30,147,31,5.6,31.18,11,14.92000865
8,5,0,0,0,1.6,78.38,-7,0
97,14,30,345,254,7.7,20.34,16,48.79231526
182,20,0,0,0,1.3,90.75,18,0
190,22,30,0,0,1.1,80.78,14,0
124,14,0,249,16,2.2,76.87,10,24.67927927
207,3,0,0,0,1.9,72.41,14,0
45,15,30,130,14,5.4,67.52,0,12.66946346
27,0,30,0,0,4,88.13,2,0
105,2,0,0,0,4.5,81.32,0,0
24,5,0,0,0,2.3,75.97,-2,0
88,15,0,81,933,3,18.65,19,60.05010008
132,18,0,56,463,1.5,89.22,10,13.60644674
31,19,30,0,0,1.6,65.45,-5,0
90,11,0,410,248,3.4,22.48,19,56.85993851
42,7,0,0,0,3.1,56.13,0,0
63,18,0,0,0,1.5,70.41,-2,0
1,5,0,0,0,1.6,87.34,-12,0
50,2,30,0,0,1.9,63.46,0,0
104,7,0,76,669,4.4,40.71,9,26.18096804
128,6,30,4,0,0.5,100,5,0.375370883
153,15,30,182,10,5,41.88,22,17.73296039
93,21,0,0,0,1.1,53.9,3,0
108,15,0,327,168,3.8,50.57,8,41.10175641
125,14,30,387,119,0.3,61.76,14,44.75855005
37,2,0,0,0,4.1,58.56,4,0
113,11,30,423,502,1.5,26.29,16,81.53946531
95,23,0,0,0,2.6,49.98,4,0
144,1,0,0,0,1.4,99.3,4,0
14,2,0,0,0,2.2,51.55,-5,0
74,15,0,79,909,4,21.5,22,54.13713304
76,2,30,0,0,1.4,77.31,4,0
165,0,0,0,0,1.2,95.55,12,0
197,21,30,0,0,1.1,64.7,16,0
56,22,0,0,0,4.1,71.93,-12,0
99,17,30,43,0,0.4,52.41,9,4.03505959
57,9,0,50,0,3.1,57.89,-6,4.692703288
48,16,30,42,744,1,77.21,2,18.29993388
75,21,30,0,0,1.7,84.8,4,0
161,4,30,0,0,1.7,93.29,10,0
114,22,0,0,0,1.4,94.45,6,0
109,7,0,75,680,0.9,72.18,2,27.68451535
18,1,0,0,0,2.9,69.76,0,0
92,15,30,116,880,3.1,28.82,7,55.27214749
105,15,30,218,24,4.5,75.71,4,21.77175046
101,16,30,72,821,4.2,18.45,13,37.15844997
198,3,0,0,0,1.1,69.42,12,0
62,13,0,346,132,4.1,44.6,-4,40.82562131
46,8,30,13,0,3.5,76.29,-3,1.220062631
188,16,0,291,150,2.3,81,15,36.03164424
100,13,0,388,390,1.9,16.75,18,66.80647068
158,18,30,38,481,1,66.56,19,10.50876751
201,20,30,0,0,1.1,93.06,15,0
114,14,0,44,0,2.4,41.42,14,4.128671283
202,2,0,0,0,1.7,90.44,12,0
176,15,0,382,187,3.8,46.6,24,49.16331724
114,15,0,298,379,1.4,42.44,14,51.88989135
25,5,0,0,0,2.1,62.63,0,0
