ID,company,model,year,transmission,mileage,fueltype,tax,mpg,engineSize,price
47,3, Q2,2017,1,9249,0,30,64.2,1.6,17188
48,2, Fiesta,2018,1,6013,4,145,58.9,1,11810
49,2, Fiesta,2019,3,1973,4,150,48.7,1,15510
50,3, Q3,2017,0,21090,4,145,40.4,2,25500
51,3, A3,2017,3,40054,4,145,44.1,2,22490
52,0, 4 Series,2017,0,13941,4,145,48.7,2,21998
53,0, X3,2018,3,23206,0,150,48.7,3,29498
54,3, A4,2017,1,38810,0,30,67.3,2,17012
55,2, Fiesta,2016,1,36488,4,20,62.8,1,8998
56,3, Q2,2019,1,4846,4,145,43.5,1.5,24000
57,4, C-HR,2017,0,106470,2,135,74.3,1.8,14500
58,3, A3,2019,3,12863,4,145,41.5,1.5,23535
59,1, Ioniq,2017,0,22431,2,135,78.5,1.6,13600
60,1, Tucson,2017,1,34794,0,30,61.7,1.7,11650
61,3, Q2,2019,1,11422,0,145,49.6,1.6,19430
62,3, A7,2019,0,6112,0,145,38.7,3,41495
63,3, A1,2017,1,29155,0,0,76.3,1.6,9999
64,2, Fiesta,2018,1,1931,4,145,65.7,1,11350
65,2, Focus,2018,1,20298,0,150,67.3,2,18999
66,0, 1 Series,2016,0,41081,0,0,74.3,2,11980
67,4, Yaris,2014,0,47352,2,0,76.3,1.5,9440
68,3, RS6,2020,3,1500,4,150,22.1,4,109495
69,2, Fiesta,2016,1,46000,4,0,65.7,1,8990
70,1, IX20,2016,1,36242,4,125,50.4,1.4,7798
71,4, Yaris,2016,0,23272,2,0,86,1.5,10980
72,0, i8,2019,0,10,2,135,141.2,1.5,74226
73,2, Focus,2019,1,9010,4,145,60.1,1,15320
74,2, Fiesta,2016,1,11860,4,0,65.7,1,9190
75,0, X3,2019,3,4809,0,145,54.3,2,33972
76,1, Ioniq,2017,0,29058,2,0,78.5,1.6,15200
77,0, X1,2019,1,1272,4,145,54.3,1.5,22500
78,4, Prius,2011,1,112000,3,0,70.6,1.8,7250
79,1, I10,2017,1,3149,4,150,60.1,1,7570
80,2, Kuga,2017,1,13378,0,145,64.2,1.5,16497
81,0, 3 Series,2019,3,4315,4,145,42.2,2,26000
82,1, I20,2015,1,28123,4,30,56.5,0,7500
83,2, Fiesta,2017,1,28438,4,0,65.7,1,8700
84,2, Focus,2018,0,8000,0,145,64.2,2,19444
85,2, Kuga,2017,3,59220,0,150,54.3,2,14800
86,3, R8,2016,3,10172,4,570,24.8,5.2,79900
87,4, Aygo,2016,1,31624,4,0,69,1,6550
88,3, A4,2019,3,10205,4,145,38.2,2,25050
89,4, Avensis,2016,1,63956,0,30,62.8,2,11503
90,2, Ka+,2019,1,10,4,145,47.9,1.2,10550
91,3, Q3,2017,3,17266,4,145,47.9,1.4,21946
92,1, Tucson,2017,0,31470,0,200,46.3,2,15270
93,0, X1,2016,1,26117,0,125,60.1,2,17200
94,0, 2 Series,2016,0,30626,0,20,72.4,1.5,12500
95,2, Kuga,2017,1,18597,0,125,60.1,2,14498
96,4, Auris,2017,1,16400,4,30,58.9,1.2,10351
97,0, 3 Series,2015,0,36816,0,30,70.6,2,13980
98,0, 3 Series,2015,3,40443,0,165,51.4,3,18981
99,2, Focus,2018,1,17379,4,150,57.7,1,12999
100,0, 5 Series,2016,0,64117,0,30,65.7,2,13500
101,2, Fiesta,2018,1,5829,4,145,58.9,1,12927
102,2, Fiesta,2018,1,27567,4,145,65.7,1,11299
103,3, Q3,2020,1,1500,4,145,40.9,0,30990
104,1, Kona,2018,1,15371,4,145,52.3,1,14995
105,3, A6,2016,1,37729,0,30,64.2,2,15995
106,3, Q3,2017,3,15336,0,145,51.4,2,25082
107,0, X4,2019,3,7141,0,145,42.8,2,33995
108,1, IX20,2017,1,4817,4,125,50.4,1.4,10247
109,1, Tucson,2019,1,4425,4,150,34.9,1.6,21995
110,3, A3,2019,3,8932,0,145,54.3,1.6,20000
111,1, Ioniq,2018,0,13474,2,135,78.5,1.6,17298
112,4, Aygo,2017,1,37500,4,150,69,1,6190
113,1, I10,2017,3,31564,4,145,47.9,1.2,8495
114,3, A3,2019,3,7157,4,145,34.9,2,30500
115,2, Fiesta,2019,1,5248,4,145,56.5,1,15500
116,0, 4 Series,2017,1,27599,0,150,62.8,2,16488
117,3, Q2,2017,3,26500,4,145,54.3,1.4,18552
118,4, Auris,2017,1,28000,4,145,58.9,1.2,12495
119,1, Tucson,2016,1,21898,0,30,61.7,1.7,12300
120,4, Aygo,2019,1,10,4,145,57.7,1,10495
121,3, A4,2018,1,14893,4,145,50.4,1.4,17990
122,2, Fiesta,2018,3,6400,4,145,48.7,1,16890
123,2, Focus,2018,1,12657,0,145,67.3,2,17000
124,4, Corolla,2019,0,6158,2,140,72.4,2,23000
125,2, Mondeo,2015,1,68535,0,0,78.5,1.6,6491
126,2, Ka+,2018,1,14148,4,145,47.9,1.2,8407
127,4, Yaris,2018,0,9936,2,135,76.3,1.5,13990
128,4, Yaris,2017,1,35765,4,145,58.9,1.5,8999
129,0, 4 Series,2018,3,14299,4,145,48.7,2,21415
130,2, Focus,2015,1,44000,4,20,60.1,1,7996
131,1, Tucson,2018,1,30421,4,145,38.7,1.6,14490
132,0, 1 Series,2013,3,44000,4,145,48.7,1.6,9444
133,2, Kuga,2019,1,29425,0,150,54.3,1.5,16891
134,0, X6,2018,0,40000,0,145,40.9,3,34990
135,2, Fiesta,2014,1,42285,4,145,47.9,1.6,9499
136,3, A4,2019,3,9662,0,145,45.6,2,26495
137,2, Fiesta,2016,1,40000,4,0,65.7,1,8000
138,3, A5,2016,0,21968,0,145,56.5,2,19499
139,4, Prius,2018,0,43078,2,135,94.1,1.8,18990
140,2, Mondeo,2015,1,59872,4,145,48.7,1.5,9995
141,4, Avensis,2016,1,56501,0,20,67.3,1.6,9295
142,4, Auris,2016,0,38409,2,0,78.5,1.8,13000
143,0, 2 Series,2020,3,2880,4,145,50.4,1.5,25603
144,3, A3,2019,1,6350,0,145,54.3,2,21488
145,4, Auris,2016,0,19149,2,0,72.4,1.8,15780
146,2, C-MAX,2017,1,25003,4,30,55.4,1,9998
147,0, 3 Series,2019,3,5800,0,145,52.3,2,28775
148,2, Focus,2019,1,151,4,145,60.1,1,17520
149,2, Fiesta,2016,3,12656,4,0,57.7,1,11899
150,0, 5 Series,2016,0,32868,0,125,60.1,2,18000
151,2, Fiesta,2017,1,13449,4,145,65.7,1,9700
152,2, Focus,2017,1,78000,0,0,74.3,1.5,7495
153,0, 3 Series,2019,3,9698,0,145,53.3,2,26995
154,0, 3 Series,2017,0,21877,0,150,51.4,3,21000
155,3, A1,2015,1,21396,4,0,67.3,1,10498
156,3, Q2,2019,0,4000,4,145,42.2,1.5,23444
157,2, EcoSport,2018,1,8000,4,145,54.3,1,14030
158,4, Auris,2016,1,36283,4,125,52.3,1.2,9450
159,2, Fiesta,2018,1,15329,4,145,65.7,1,11995
160,1, IX20,2015,1,27027,4,125,50.4,1.4,6498
161,4, Corolla,2008,1,76300,4,260,36.7,1.8,4295
162,0, 2 Series,2016,1,36633,0,20,74.3,1.5,12950
163,4, RAV4,2016,0,18000,2,20,57.6,2.5,20495
164,2, Fiesta,2017,1,11085,4,125,54.3,1.2,7798
165,3, Q3,2019,1,750,0,145,42.8,2,29990
166,3, Q2,2019,3,3772,4,145,33.2,2,26995
167,0, X1,2018,3,11520,4,145,37.7,2,22780
168,2, Ka+,2017,1,19701,4,145,57.7,1.2,7697
169,0, 4 Series,2019,3,8215,0,150,50.4,3,30980
170,3, A6,2015,3,46482,0,200,44.8,3,18495
171,0, 3 Series,2017,0,29184,0,145,51.4,3,19547
172,2, Ka+,2018,1,5730,4,145,47.9,1.2,9295
173,2, Fiesta,2013,1,34619,4,30,54.3,1.2,6500
174,0, 3 Series,2019,0,9117,0,145,54.3,2,23498
175,2, Kuga,2017,1,25730,0,125,60.1,2,13700
176,2, Focus,2016,1,33812,4,125,51.4,1.5,11490
177,4, C-HR,2017,0,25038,2,0,74.3,1.8,20575
178,2, Fiesta,2018,1,15055,4,145,65.7,1,11000
179,2, EcoSport,2016,3,11321,4,160,44.8,1.5,10998
180,4, Yaris,2017,0,19000,2,140,76.3,1.5,13995
181,4, Corolla,2019,1,4774,4,145,39.2,1.2,18495
182,0, 1 Series,2019,3,7233,0,150,68.9,1.5,19812
183,2, Focus,2018,1,10834,4,145,57.7,1,13000
184,3, Q5,2015,0,49431,0,260,41.5,3,23990
185,0, 4 Series,2016,1,43000,0,30,67.3,2,13999
186,3, A1,2015,1,30042,0,0,80.7,1.6,10330
187,3, A1,2016,1,35412,4,30,57.6,1.4,10330
188,0, 3 Series,2017,3,32500,0,150,64.2,2,18490
189,2, Focus,2014,1,31335,0,20,67.3,1.6,8999
190,3, Q2,2017,1,17872,0,145,64.2,1.6,18995
191,3, Q2,2019,1,333,4,145,47.1,1,20888
192,0, X1,2017,3,15991,0,150,55.4,2,23995
193,3, Q5,2017,3,18053,0,200,47.1,2,24800
194,0, 2 Series,2019,3,6195,4,145,47.9,2,20498
195,4, Corolla,2020,0,5000,2,140,53.3,2,25998
196,2, Kuga,2019,1,19026,0,145,47.9,2,19500
197,1, Tucson,2017,3,40077,0,150,57.6,1.7,13995
198,2, B-MAX,2017,3,34961,4,160,44.1,1.6,9300
199,0, 5 Series,2019,0,7399,4,145,50.4,2,28200
200,2, Kuga,2016,1,31177,0,145,54.3,2,14291
201,3, A4,2014,1,31376,0,125,58.9,2,11700
202,1, Tucson,2018,3,16096,4,145,36.2,1.6,17000
203,0, 5 Series,2019,0,105,4,145,50.4,2,26980
204,1, Kona,2018,1,26122,4,145,52.3,1,11784
205,1, I10,2016,1,11500,4,20,61.4,1,6995
206,3, Q3,2019,3,5737,4,145,32.1,2,32990
207,2, Fiesta,2019,1,12320,4,145,58.9,1,10998
208,2, Fiesta,2018,1,7874,4,145,40.3,1.5,15990
209,3, A1,2017,1,24001,0,145,76.3,1.6,19991
210,0, 1 Series,2013,1,49711,0,30,65.7,2,8495
211,0, 3 Series,2014,0,98381,0,125,60.1,2,10230
212,4, GT86,2017,1,14736,4,150,36.2,2,18998
213,3, TT,2015,1,20517,0,20,67.3,2,15699
214,2, Fiesta,2016,1,10864,4,125,54.3,1.2,8950
215,1, Tucson,2019,1,6155,2,145,51.4,1.6,22500
216,0, 3 Series,2017,3,25585,0,145,51.4,3,22998
217,0, 3 Series,2016,3,37625,0,205,49.6,3,21995
218,2, Focus,2018,1,21650,4,150,60.1,1,16000
219,3, Q3,2017,1,36667,0,150,56.5,2,18000
220,1, Kona,2019,1,50,4,145,44.1,1,16390
221,2, Focus,2017,0,12912,4,150,46.3,1.5,13298
222,2, Fiesta,2017,1,22471,4,125,54.3,1.2,9350
223,2, Fiesta,2016,1,32268,4,0,65.7,1,8105
224,4, Aygo,2015,1,43000,4,0,69,1,6290
225,2, Grand Tourneo Connect,2016,0,21576,0,125,56.6,1.5,14000
226,0, 1 Series,2018,0,9856,4,145,55.5,1.5,16200
227,0, 1 Series,2014,3,35481,4,235,37.7,3,17292
228,1, Santa Fe,2019,3,30,0,145,40.9,2.2,32995
229,3, A1,2019,3,3774,4,145,40.9,2,22365
230,0, 4 Series,2017,3,47470,0,125,60.1,2,17420
231,1, I10,2019,1,3500,4,145,49.6,1,9495
232,2, Fiesta,2017,1,9576,4,145,64.2,1.1,9750
233,2, EcoSport,2017,1,21559,4,150,52.3,1,9200
234,1, I10,2019,1,10292,4,145,57.6,1.2,9470
235,2, Fiesta,2016,1,16671,0,0,78.5,1.5,9295
236,0, 4 Series,2019,0,123,0,145,65.7,2,29361
237,0, 3 Series,2019,3,4953,2,135,8.8,2,33995
238,0, 7 Series,2017,3,15405,0,145,54.3,3,30972
239,2, B-MAX,2013,1,44190,4,30,55.4,1,5795
240,1, Ioniq,2019,0,9852,2,140,78.5,1.6,21995
241,4, Corolla,2019,0,6500,2,140,72.4,2,26999
242,0, X5,2012,0,60000,0,300,37.7,3,15490
243,3, Q3,2016,0,42624,0,145,51.4,2,17250
244,2, Fiesta,2018,1,9760,4,150,62.8,1,15000
245,0, 5 Series,2017,0,24212,0,125,60.1,2,17000
246,4, Auris,2017,0,9635,2,0,70.6,1.8,18995
247,4, Aygo,2019,3,1234,4,145,56.5,1,10200
248,2, Focus,2016,1,48687,0,0,74.3,1.5,8940
249,2, Galaxy,2017,1,50446,0,125,56.5,2,16990
250,2, Focus,2017,1,36013,0,145,74.3,1.5,10671
251,2, Mondeo,2012,1,58000,4,160,44.1,1.6,6499
252,0, M3,2018,3,28347,4,150,34,3,36995
253,0, 2 Series,2016,3,28271,4,260,37.2,3,20295
254,2, Focus,2012,1,71963,4,145,47.9,1.6,5379
255,0, 3 Series,2019,3,5888,4,150,51.4,1.5,19750
256,2, Kuga,2017,1,25370,0,145,60.1,2,16050
257,3, Q3,2019,0,11020,4,145,31.7,2,29950
258,2, Fiesta,2019,1,8642,4,145,55.4,1,14000
259,2, Fiesta,2018,1,16323,4,145,65.7,1,11200
260,3, RS5,2018,3,9641,4,145,32.5,2.9,47895
261,2, Focus,2019,1,1152,4,145,60.1,1,17470
262,2, Fiesta,2019,1,19153,4,150,56.5,1,11000
263,2, Fiesta,2019,1,44,4,145,58.9,1,14070
264,2, Focus,2013,1,52632,4,20,58.9,1,6190
265,3, Q5,2018,0,8250,0,145,38.2,2,34995
266,0, X4,2014,0,67975,0,200,47.9,3,17450
267,0, 3 Series,2017,0,33131,4,125,54.3,1.5,13750
268,1, Ioniq,2018,0,13884,2,135,78.5,1.6,17298
269,3, Q3,2019,0,7118,0,145,38.7,2,32990
270,0, 3 Series,2015,1,17620,4,265,36.7,3,20990
271,4, Aygo,2018,1,14959,4,145,68.9,1,8300
272,4, Auris,2017,0,30468,2,135,72.4,1.8,13498
273,0, 5 Series,2019,3,12,4,145,48.7,2,31475
274,2, Focus,2018,1,29553,4,145,41.5,2,18499
275,4, Corolla,2019,1,6503,4,145,39.2,1.2,16995
276,2, Fiesta,2017,1,24282,4,0,65.7,1,8995
277,2, Fiesta,2016,1,8854,4,125,54.3,1.2,9700
278,1, IX20,2017,0,9320,4,145,43.5,1.6,10295
279,0, 3 Series,2013,1,67000,0,20,68.9,2,8995
280,2, Fiesta,2016,1,36346,4,0,65.7,1,8495
281,0, X4,2017,3,18150,0,200,47.9,3,25000
282,2, Focus,2019,0,6435,0,145,64.2,2,18420
283,2, Fiesta,2016,1,24437,4,125,54.3,1.2,7851
284,2, Fiesta,2015,1,57311,4,30,54.3,1.2,5498
285,3, A3,2019,3,9967,4,145,42.2,1.5,22990
286,2, Mondeo,2018,0,11171,4,150,38.2,2,19500
287,0, 2 Series,2019,0,1501,2,135,113,1.5,27995
288,2, Fiesta,2017,1,18041,4,145,54.3,1.2,8730
289,2, S-MAX,2013,0,42522,0,200,47.1,2,9000
290,3, A3,2017,1,26022,0,20,70.6,1.6,13390
291,4, Auris,2016,1,52482,0,20,65.7,1.6,8500
292,0, 2 Series,2020,3,5,4,145,50.4,2,28490
293,4, Aygo,2018,3,16372,4,150,67.3,1,9198
294,2, EcoSport,2017,1,14821,0,30,64.2,1.5,9320
295,2, Focus,2019,1,3412,4,145,60.1,1,15590
296,3, A1,2014,1,28324,4,125,53.3,1.4,10000
297,4, Corolla,2005,1,77500,4,235,40.4,1.6,3495
298,2, Fiesta,2017,1,27188,4,0,65.7,1,8300
299,2, Focus,2015,3,47354,4,160,44.8,1.6,9000
300,2, Fiesta,2008,1,77570,4,145,47.1,1.2,2695
301,3, A4,2017,1,111890,0,20,70.6,2,11500
302,2, Focus,2017,1,38389,4,145,61.4,1,8891
303,2, Focus,2017,1,13013,4,145,57.7,1,12995
304,3, A6,2017,3,37225,0,240,44.1,3,30990
305,2, EcoSport,2014,1,23000,4,125,53.3,1,7500
306,2, Fiesta,2018,3,4213,4,145,54.3,1,13500
307,2, Fiesta,2013,1,46028,4,30,54.3,1.2,5995
308,2, Fiesta,2014,1,55259,4,30,54.3,1.2,5495
309,3, Q7,2017,3,66477,2,140,156.9,3,32998
310,0, 5 Series,2019,3,10373,0,150,65.7,2,29999
311,0, 2 Series,2019,1,100,0,145,61.4,2,22650
312,2, Tourneo Custom,2017,1,64432,0,145,44.8,2,19194
313,2, Fiesta,2017,1,18795,4,125,54.3,1.2,7495
314,2, Focus,2017,1,27412,0,150,74.3,1.5,10998
315,2, Ka+,2018,1,8355,4,145,57.7,1.2,8750
316,1, I40,2013,0,64672,0,205,47.1,1.7,7485
317,2, Fiesta,2016,1,23641,4,0,65.7,1,8799
318,0, 5 Series,2019,0,1662,0,145,65.7,2,28000
319,2, Focus,2016,1,17663,4,200,41.5,2,17499
320,0, 5 Series,2019,0,3500,4,145,50.4,2,31950
321,1, I800,2018,1,30305,0,145,31.7,0,15500
322,2, Fiesta,2019,1,4293,4,145,60.1,1,15500
323,2, Fiesta,2018,1,19526,4,145,62.8,1,12200
324,2, C-MAX,2018,1,2255,4,150,49.6,1,13698
325,2, Focus,2018,1,10041,4,145,60.1,1,11950
326,3, A1,2016,1,29000,0,0,76.3,1.6,8490
327,2, C-MAX,2017,1,14382,0,145,68.9,1.5,11698
328,3, Q5,2020,0,3121,4,145,32.1,2,37000
329,0, 1 Series,2016,1,8719,4,125,52.3,1.5,13700
330,2, Fiesta,2017,1,19910,4,125,54.3,1.2,8950
331,1, Tucson,2019,1,9109,4,145,35.3,1.6,18495
332,0, 1 Series,2014,3,9024,4,125,50.4,1.6,12490
333,0, 5 Series,2019,0,2220,0,145,62.8,2,29550
334,3, A6,2015,0,43000,0,160,50.4,3,21950
335,1, Santa Fe,2014,0,37006,0,265,41.5,2.2,15500
336,0, X3,2016,0,65392,0,200,47.9,3,18675
337,0, 1 Series,2016,1,40855,0,30,65.7,2,13499
338,0, 1 Series,2016,1,10,4,125,53.3,1.5,19990
339,2, Fiesta,2018,1,26402,4,145,64.2,1.1,9699
340,4, Yaris,2015,0,36524,2,0,86,1.5,8950
341,2, Fiesta,2018,1,14100,4,150,65.7,1,10475
342,1, Ioniq,2018,0,11165,2,135,78.5,1.6,18799
343,2, Fiesta,2015,1,47612,0,0,76.4,1.5,6999
344,0, 8 Series,2019,0,11111,4,150,26.9,4.4,65000
345,2, Focus,2017,1,25526,4,145,41.5,2,17630
346,0, 5 Series,2018,0,23195,0,145,65.7,2,22600
347,0, 3 Series,2017,0,60000,0,145,64.2,2,16500
348,3, A3,2014,1,24055,0,20,68.9,2,10582
349,2, KA,2014,1,40770,4,30,57.7,1.2,4340
350,4, Yaris,2017,1,13200,4,150,58.9,1.5,8995
351,0, 5 Series,2019,0,6000,4,145,46.3,2,30000
352,3, A1,2016,1,15224,0,0,76.3,1.6,11499
353,3, A1,2012,1,76975,0,20,68.9,2,8299
354,4, Yaris,2019,1,845,4,145,47.9,1.5,16795
355,0, 1 Series,2015,1,10889,0,0,78.5,1.5,11750
356,2, EcoSport,2018,1,12111,4,150,51.4,1,14299
357,2, Fiesta,2019,1,6928,4,145,55.4,1.1,10995
358,0, 1 Series,2019,1,11699,4,145,53.3,1.5,17250
359,2, EcoSport,2016,1,30557,4,125,53.3,1,8998
360,3, A1,2016,1,31147,4,30,56.5,1.4,15495
361,2, Kuga,2017,1,37652,0,125,60.1,2,13480
362,0, 3 Series,2017,3,28173,2,0,134.5,2,18985
363,3, Q3,2015,1,25296,0,145,55.4,2,17321
364,4, Yaris,2017,1,19000,4,145,65.7,1,7995
365,2, Focus,2018,1,11382,4,145,57.7,1,13500
366,0, 1 Series,2019,1,4619,4,150,44.1,1.5,20750
367,3, A1,2016,1,23745,4,30,57.6,1.4,13495
368,0, 7 Series,2019,3,9931,0,145,44.1,3,42990
369,0, 6 Series,2008,3,67000,0,265,40.9,3,9495
370,1, Kona,2019,1,11372,4,145,44.1,1,14985
371,1, I10,2019,1,4419,4,145,60.1,0,9400
372,4, Auris,2017,1,19975,0,150,67.3,1.6,10698
373,0, X1,2016,1,47908,0,125,60.1,2,16000
374,3, Q3,2014,1,52006,0,145,54.3,2,12595
375,0, 5 Series,2019,3,11115,0,145,65.7,2,25998
376,4, Yaris,2018,0,9835,2,135,76.3,1.5,13260
377,2, Ka+,2018,1,7800,4,150,57.7,1.2,7995
378,2, Fiesta,2016,1,16501,4,20,62.8,1,9700
379,4, Auris,2017,0,27055,2,0,78.5,1.8,16872
380,2, Ka+,2019,1,7902,4,145,43.5,1.2,10495
381,2, Kuga,2018,1,29428,0,145,54.3,1.5,16495
382,2, Focus,2019,1,4763,4,145,34.5,2.3,26780
383,3, A3,2018,3,18972,4,150,47.9,2,22900
384,3, A1,2013,1,57465,0,0,74.3,1.6,8354
385,2, Fiesta,2018,1,18419,4,145,62.8,1,11980
386,3, Q3,2014,3,53000,0,200,47.9,2,12995
387,3, A3,2014,1,32055,4,20,60.1,1.4,11290
388,2, Fiesta,2018,1,20400,4,145,55.4,1.1,9499
389,4, Prius,2013,0,52217,2,0,134.5,1.8,13522
390,0, 4 Series,2016,1,33650,4,160,44.8,2,16000
391,2, Focus,2015,1,47192,0,20,67.3,1.6,7700
392,2, Focus,2016,1,30208,4,20,60.1,1,10000
393,4, Auris,2011,0,67437,2,0,70.6,1.8,6800
394,3, A5,2019,3,500,4,145,39.8,2,32900
395,0, X1,2016,3,33049,0,125,57.6,2,18101
396,0, 3 Series,2015,0,51126,0,125,57.6,2,13350
397,4, C-HR,2018,0,7910,2,140,74.3,1.8,22975
398,2, Fiesta,2017,1,14110,4,150,54.3,1.2,8498
399,0, 5 Series,2017,0,54589,0,20,68.9,2,13700
400,3, A5,2015,1,80315,0,165,53.3,2,13500
401,2, Focus,2017,1,18563,4,150,60.1,1,10298
402,2, Focus,2013,1,37000,4,230,39.2,2,12495
403,3, A5,2013,3,80248,0,125,58.9,2,9730
404,1, I10,2019,1,3200,4,145,49.6,1,9491
405,2, Focus,2018,1,23842,0,145,74.3,1.5,12800
406,2, Focus,2019,1,9145,0,145,74.3,1.5,16030
407,2, Fiesta,2017,1,16092,4,145,65.7,1,10170
408,3, A6,2019,0,4553,0,145,47.9,2,30850
409,2, EcoSport,2018,1,10654,4,145,54.3,1,13500
410,3, A4,2016,1,21069,4,150,51.4,1.4,14500
411,2, Fiesta,2017,1,14251,4,145,65.7,1,10199
412,3, Q3,2019,1,6470,4,145,39.8,1.5,26495
413,1, Tucson,2015,1,54411,0,30,61.7,1.7,10995
414,0, X5,2014,0,51252,0,200,45.6,3,23980
415,2, Fiesta,2012,1,11000,4,160,42.8,1.2,7891
416,2, Fiesta,2018,1,6073,4,145,56.5,1,11450
417,3, Q5,2019,0,5027,0,145,38.2,2,34000
418,0, 3 Series,2019,3,5039,0,150,52.3,2,33950
419,2, Fiesta,2013,1,28411,0,0,76.4,1.5,6520
420,3, Q5,2017,0,55903,0,145,56.5,2,22950
421,3, A4,2019,1,5500,4,145,40.4,2,23500
422,2, Focus,2018,1,21931,4,150,41.5,2,16900
423,2, Ka+,2018,1,25000,4,145,47.9,1.2,8888
424,2, Focus,2019,1,3572,0,145,70.6,2,20499
425,2, Focus,2018,1,17144,4,145,60.1,1,11900
426,3, RS3,2017,0,38000,4,150,34,2.5,31888
427,2, Focus,2019,1,150,4,145,60.1,1,17520
428,2, Focus,2017,1,23300,4,20,60.1,1,9650
429,1, Tucson,2017,1,22798,0,30,61.7,1.7,15490
430,4, Yaris,2019,1,1209,4,145,47.9,1.5,13491
431,4, Aygo,2017,0,21127,4,145,67.3,1,8490
432,0, 1 Series,2019,0,5345,4,145,34.5,2,30900
433,2, Ka+,2018,1,14907,4,145,43.5,1.2,9561
434,4, Auris,2014,0,141000,2,0,70.6,1.8,7240
435,2, Focus,2018,1,16500,4,145,58.9,1,13990
436,3, A6,2019,0,6500,0,145,47.9,2,30495
437,3, A5,2019,0,10664,0,145,50.4,2,25990
438,3, A6,2007,0,70000,0,300,39.8,2.7,3990
439,4, Yaris,2018,0,11133,2,135,76.3,1.5,13795
440,2, Fiesta,2014,1,52293,0,0,78.5,1.6,6497
441,3, A5,2019,3,7126,0,150,50.4,2,29950
442,3, Q3,2016,3,33000,0,160,50.4,2,18990
443,2, Galaxy,2012,1,114000,0,165,49.6,2,6490
444,0, X7,2019,0,5929,0,145,31.4,3,72500
445,2, Kuga,2013,1,41126,4,200,42.8,1.6,9495
446,2, Fiesta,2018,1,37224,4,145,56.5,1,10145
447,1, Ioniq,2016,0,20296,2,0,78.5,1.6,14270
448,2, Fiesta,2016,1,42195,4,20,62.8,1,8500
449,0, X3,2016,3,28211,0,150,54.3,2,21990
450,2, Fiesta,2018,1,5635,4,145,58.9,1,13499
451,2, EcoSport,2017,1,19347,4,145,52.3,1,9615
452,3, Q3,2019,1,4000,4,145,42.2,1.5,28000
453,2, Kuga,2018,1,9748,0,145,64.2,1.5,16789
454,2, Fiesta,2013,1,60351,4,30,54.3,1.2,5698
455,0, 1 Series,2016,1,29226,0,30,62.8,2,13500
